source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,ruwe
3016805648851443200,82.63745228887923,-6.5143159324051565,4.472587769765767,0.7756023,-4.332680619238738,11.857794593053821,15.321691,0.8995342,25.979
3023256857230708608,86.03683269565224,-4.978685571325048,1.9336745652780318,0.3038995,-15.056112535674254,8.168859834869387,12.6198,0.98206043,22.81223
3209757913614765184,81.88364185291086,-4.674799030262806,2.427544007092171,0.37223214,-2.9515546634896594,-9.009861990828453,13.081617,1.0002165,29.796648
3016188925907171712,86.1120429371444,-6.600492516622658,1.7676237818804392,0.23786844,-4.702335960549527,-7.744117843147823,13.903717,1.2010279,17.371168
3016736860655462784,83.07332089011278,-6.765393938397206,2.5116806877563587,0.32638595,0.39274310102100524,0.6661693990907757,14.154308,2.1980839,18.903173
3209578899381500928,83.80191500590026,-4.74053798248484,2.3909052309929617,0.27721795,1.8505034487066436,-1.746405487702179,13.803701,2.2459297,17.874786
3215585393964055040,84.45924961035062,-4.438009665526581,2.8161247518699453,0.31428784,1.2145660730014434,-1.718313939925941,15.310851,2.4066267,5.779522
3209691599322660608,82.18594516700158,-4.918420362545231,2.9381897410082716,0.31970593,8.623868795460877,-1.1245830062424134,14.369991,1.4173717,17.771599
3215874290644123904,83.47014926659223,-3.895864531165175,2.001317878882845,0.21392368,-4.592299782999215,-0.8496361712546454,14.485095,1.4208422,9.730792
3209603947631745152,83.39290564783572,-4.738332666816234,3.9604514406643903,0.41750383,-3.4739883557386646,-5.029558948369164,14.575409,2.4310303,6.626389
3210976683599407104,82.0859806237459,-2.9490520274059766,1.4970190596471802,0.14617456,14.000069621214568,0.5521461742458004,14.465448,1.3163242,6.293153
3215646038901860736,83.90190668253882,-4.358463455864683,2.226181617941787,0.21391311,1.2405335382918934,0.7419312192100492,14.459109,2.4970245,10.427068
3017187660422875520,83.76819309277757,-6.014748176064974,2.241030274226587,0.19635391,1.0757726410812882,-0.02293502445150942,14.896997,2.5429678,8.278731
3209929093833325184,82.70295984230475,-3.874833578859988,7.774708637687364,0.63111037,1.2716367574629763,-37.20954393061342,15.423122,2.7085848,19.207745
3023308607293273472,86.38320887430345,-4.474264220341161,2.075324682279479,0.16487874,0.7475890481894564,1.4497585456396955,15.221388,1.6170607,5.9310193
3023288884803473536,86.4646182030843,-4.691288284489316,1.0610887021072568,0.08215403,-0.9891595967035051,4.086265789573889,13.588544,1.062789,7.5030804
3216007572068573696,84.43730339418804,-3.2361102553645904,4.553708485728791,0.33366284,-5.449311452756225,-18.239549533546082,12.905314,1.0705166,19.735088
3208839988909789696,81.43858528333885,-6.777950901755662,1.9965628457441817,0.14304565,1.663893593810409,-0.6040377257211214,14.823895,2.1455317,6.398277
3016189922339983872,86.33540665766505,-6.658969046839949,1.8003865495013263,0.1268552,2.5730466551392794,-4.52864286648988,12.894926,1.1538582,9.57278
3216109551771920128,84.68913613853698,-2.6998255888369624,3.908998123013805,0.2749278,0.862560141292278,0.36716331667794955,14.897772,2.1387968,10.811359
3017173916527493632,84.03374028788218,-6.011352384249954,3.607668479753933,0.23754269,4.06195719132991,15.205107310542289,11.653443,0.8281956,12.324121
3210697480662944000,82.41989853493682,-3.681152326772897,1.0168770778628256,0.063847,5.748247566978139,-10.209900682037873,14.885791,1.2689323,3.051689
3016424530632449280,82.98274667917148,-7.301559457042783,2.456718407704508,0.14029346,-0.7035268879099126,-4.885023711195623,4.5462146,-0.39315414,1.1790639
3209503685912334848,82.92346671731565,-5.0837370842993765,2.0203564617189738,0.10647785,6.939334836657978,1.8496087458733257,14.389268,1.2942667,5.029684
3209416446536777856,83.34336925580801,-5.542605751170913,3.365056835127051,0.17514877,-0.8362029462415441,2.0488757168989684,13.931069,1.9026222,10.299856
3023369011714092416,85.68750716439388,-4.823728585390301,1.106999110204053,0.056587067,-2.8304663388154925,12.823263077247939,15.314957,1.4371719,1.6987224
3022335947524212480,86.53741037746937,-5.471337563122134,2.445861202639446,0.12288434,-2.7930202286991155,0.17442280713328803,12.0175905,1.0166683,9.104062
3215697372350817152,84.30734246498567,-3.842950969009993,2.8170524072532164,0.13844351,-2.080390049008557,-0.044943116565850684,9.889379,0.27023792,7.400861
3016112887804896640,85.21987041858223,-7.027020080871488,1.3403293810952241,0.062039103,3.682814110741814,4.655226827593347,15.185305,1.5772343,2.1957574
3208991897610113024,82.59036953772681,-6.210063551518663,1.1365234884889994,0.049714256,-5.57637492347596,-1.8155102082821881,15.331401,1.0729389,1.7547599
3016923017420354688,84.10596387757893,-6.716034239242416,2.6424669784748764,0.111673094,-0.6668199172822702,-2.408186904203983,10.525793,1.517498,9.140145
3016680854281361024,82.19731343109281,-6.9624466222631725,1.3074163309527926,0.053630304,3.49613009416162,7.623768755381436,14.889504,,1.1685557
3215873603449230464,83.40116790790437,-3.945924775076107,1.3892107839158745,0.05692472,-8.093879909940936,-5.018476122037403,15.203574,1.524682,2.069813
3022254175642548736,86.59989114697765,-6.014387963003937,2.760028687449233,0.1085979,-1.8793911668150027,0.2006649513911672,14.982077,1.612071,4.1991653
3208950253606839040,81.57759777701962,-6.137414188558664,1.5988399553777117,0.060786154,-2.7011593619198946,7.112747680994958,14.043939,1.0317402,3.37074
3017360657409619328,83.85837878918144,-5.429963364743767,2.8491227645891897,0.10760867,1.9038538382720043,-1.0057658199372408,15.120675,1.4327936,2.0115423
3209406306117032960,83.06306612422343,-5.583403599919745,2.8514441439983225,0.10523172,1.989669104591079,-0.5313039206066312,14.679671,2.185916,5.497041
3016701229606169856,82.26247100839657,-6.767946626351458,1.0169015829810133,0.035331503,-3.2205639984416377,-13.75145095090804,15.376543,1.0695372,1.0529698
3015432187027899392,84.90384804396513,-7.983018125624797,1.4097243481230624,0.048839085,-6.199613052986057,9.839998182944724,14.942671,2.0936909,2.0503192
3210533962668270592,81.6668118692291,-4.3074916708669955,1.11581974616962,0.037659477,-0.26886965724340733,1.9558459559374288,15.38625,1.1032906,1.1863898
3210550073087799296,82.17299643465114,-4.221575658703077,2.9279979484425738,0.09581693,1.4726456102359116,-1.391771926559367,15.479349,2.4755297,2.9349618
3209863982129233152,83.39269302604873,-4.072741419925489,1.097559735529898,0.035818573,24.355642765621248,-17.76292567200461,15.348784,1.2998562,1.0262718
3016468682896401792,84.01056287912179,-7.291287662585681,1.0458243718592906,0.033781152,7.252479868624614,-1.6012217032666882,15.458145,1.8092642,1.0269247
3016933157839060736,84.17217901086781,-6.566462854826573,2.3683631787591892,0.0762461,0.3579526519059396,0.32824056030070986,15.481612,,1.065005
3215749255555335552,85.57273101459813,-3.712185083413259,1.1091058903659963,0.035203516,-4.175226235889954,-13.375440250221429,15.297526,1.5102987,1.0668626
3216032242360688768,84.63299209697915,-3.169379616595522,1.2236651211259415,0.037934717,17.677112393601252,-15.084668688872943,15.416888,1.4546156,1.2019455
3209241899066391424,81.51583176962444,-5.855985214483083,7.707752395731825,0.2357198,335.3381554341307,-265.6169231257691,15.390928,1.7239599,7.835063
3023063587999286272,85.49015468023507,-5.7155389402931664,1.0359771127435993,0.03165823,-0.05912916013386037,-4.935635152049321,15.35622,1.5411415,1.045064
3016581485918285056,82.3962133755976,-7.465600415194329,3.896850225430514,0.118447,-1.2738502767308286,-39.75347362830247,11.887461,0.9421911,7.4316
3023089563961495808,86.39033760430345,-5.31940953153942,2.1792981988956726,0.06573893,-2.641807054098974,-0.8345916135569255,11.014053,0.56315327,3.3892822
3016583616222561792,82.44725987209901,-7.403472087116562,2.0867312143522265,0.0616517,13.245893251628187,27.948819065379915,10.773379,1.1552048,3.6719122
3016918348791934720,84.66240595012692,-6.35788680828936,1.13502126243854,0.03324151,4.07686868547969,6.113487911574297,15.482013,1.6991224,1.0731978
3017359665283930752,83.92215789021941,-5.464005285623507,2.832702474955184,0.08262129,1.4649402214085625,1.1039890348890076,15.352664,1.7924442,1.6910378
3209641193587057152,83.8805118178133,-4.363451659571772,2.668884734193413,0.07673046,-0.3795661642066624,0.43088137654046704,8.387344,-0.09371662,1.9324876
3016369383252661248,82.88139835832814,-7.709527660323538,1.1031081871512487,0.03148912,-3.116394388609458,10.912891428862062,12.687502,0.7559366,2.4101756
