eps,min_samples,clusters,noise,pleiades_cluster,pleiades_cluster_size,reference_members,reference_in_sample,tp,fp,fn,tn,precision,recall,f1,median_parallax,median_pmra,median_pmdec
0.1,80,2,15946,1,1048,958,881,878,170,3,34211,0.8377862595419847,0.996594778660613,0.9103162260238465,7.367564807383484,19.868070568705015,-45.416535511491446
0.1,120,2,17844,1,1019,958,881,872,147,9,34234,0.8557409224730128,0.9897843359818388,0.9178947368421053,7.365650912464818,19.867198714896627,-45.41617175629843
0.1,200,2,20406,1,979,958,881,858,121,23,34260,0.8764044943820225,0.9738933030646992,0.9225806451612903,7.365650912464818,19.867198714896627,-45.40830146952662
0.1,400,2,24796,1,813,958,881,746,67,135,34314,0.9175891758917589,0.8467650397275823,0.8807556080283353,7.370344183553121,19.84477584934094,-45.41323411860892
0.125,10,21,5844,3,1182,958,881,881,301,0,34080,0.745346869712352,1.0,0.8540959767329133,7.362415980544292,19.837681355714647,-45.37852892744121
0.125,15,11,7045,3,1172,958,881,881,291,0,34090,0.7517064846416383,1.0,0.8582562104237701,7.3633702812055875,19.83912818192813,-45.38046696379764
0.125,20,4,7980,1,1154,958,881,881,273,0,34108,0.7634315424610052,1.0,0.8658476658476658,7.367853603573396,19.856044404440986,-45.4033322122767
0.125,30,3,9201,1,1144,958,881,881,263,0,34118,0.7701048951048951,1.0,0.8701234567901235,7.368195491068983,19.863436039783128,-45.414702937453676
0.125,40,2,10298,1,1131,958,881,881,250,0,34131,0.7789566755083996,1.0,0.8757455268389662,7.365399225658677,19.84753721236225,-45.3960205422828
0.125,50,2,11075,1,1121,958,881,881,240,0,34141,0.7859054415700267,1.0,0.8801198801198801,7.3675798561772385,19.852902320182725,-45.39836295502678
0.125,60,2,11687,1,1115,958,881,881,234,0,34147,0.7901345291479821,1.0,0.8827655310621243,7.368127350969552,19.85967336466963,-45.39836295502678
0.125,70,2,12234,1,1100,958,881,881,219,0,34162,0.8009090909090909,1.0,0.889449772841999,7.367564807383484,19.856044404440986,-45.39714766590334
0.125,80,2,12754,1,1094,958,881,881,213,0,34168,0.8053016453382084,1.0,0.8921518987341772,7.367853603573396,19.863436039783128,-45.39831887227533
0.125,120,2,14349,1,1074,958,881,881,193,0,34188,0.8202979515828678,1.0,0.9012787723785167,7.367499878565961,19.859429926684435,-45.410767794067766
0.125,200,2,16518,1,1053,958,881,877,176,4,34205,0.8328584995251662,0.9954597048808173,0.9069286452947258,7.367449998542193,19.867198714896627,-45.41323411860892
0.125,400,2,19805,1,985,958,881,860,125,21,34256,0.8730964467005076,0.9761634506242906,0.9217577706323687,7.368127350969552,19.86742591583044,-45.42340532837509
0.15,10,14,4646,4,1193,958,881,881,312,0,34069,0.7384744341994971,1.0,0.849566055930569,7.362773276027829,19.832396859021436,-45.37654930409289
0.15,15,6,5597,1,1191,958,881,881,310,0,34071,0.7397145256087322,1.0,0.8503861003861003,7.363967286383346,19.83439266826357,-45.37822394377018
0.15,20,7,6307,1,1187,958,881,881,306,0,34075,0.7422072451558551,1.0,0.8520309477756286,7.363967286383346,19.83439266826357,-45.37822394377018
0.15,30,2,7548,1,1162,958,881,881,281,0,34100,0.7581755593803786,1.0,0.862457170827215,7.367499878565961,19.846156530851594,-45.394970059283004
0.15,40,2,8333,1,1151,958,881,881,270,0,34111,0.7654213727193745,1.0,0.8671259842519686,7.368263631168414,19.859186488699244,-45.40830146952662
0.15,50,2,8983,1,1144,958,881,881,263,0,34118,0.7701048951048951,1.0,0.8701234567901235,7.367853603573396,19.851359720025663,-45.39831887227533
0.15,60,2,9549,1,1134,958,881,881,253,0,34128,0.7768959435626103,1.0,0.8744416873449131,7.366550455503505,19.848340801899553,-45.394970059283004
0.15,70,2,10123,1,1130,958,881,881,249,0,34132,0.779646017699115,1.0,0.8761810044753853,7.367564807383484,19.851359720025663,-45.39831887227533
0.15,80,2,10553,1,1128,958,881,881,247,0,34134,0.7810283687943262,1.0,0.8770532603285216,7.367564807383484,19.851359720025663,-45.39831887227533
0.15,120,2,11873,1,1115,958,881,881,234,0,34147,0.7901345291479821,1.0,0.8827655310621243,7.367549758589729,19.859186488699244,-45.39836295502678
0.15,200,2,13740,1,1088,958,881,881,207,0,34174,0.8097426470588235,1.0,0.8948704926358558,7.366550455503505,19.859429926684435,-45.39714766590334
0.15,400,2,16566,1,1054,958,881,877,177,4,34204,0.8320683111954459,0.9954597048808173,0.9064599483204135,7.367564807383484,19.867312315363534,-45.410767794067766
0.2,10,9,3221,2,1226,958,881,881,345,0,34036,0.7185970636215334,1.0,0.8362600854295207,7.357148318428088,19.783466987700823,-45.34094157345133
0.2,15,4,3874,1,1203,958,881,881,322,0,34059,0.7323358270989194,1.0,0.8454894433781189,7.361154060952656,19.827994753858945,-45.36313189897573
0.2,20,3,4345,1,1200,958,881,881,319,0,34062,0.7341666666666666,1.0,0.8467083133109082,7.361179451118083,19.824514386654215,-45.36405140779371
0.2,30,2,5162,1,1192,958,881,881,311,0,34070,0.7390939597315436,1.0,0.8499758803666184,7.3633702812055875,19.835353579127965,-45.377386623931535
0.2,40,2,5721,1,1182,958,881,881,301,0,34080,0.745346869712352,1.0,0.8540959767329133,7.365525069061747,19.837989100364606,-45.38466051402922
0.2,50,2,6330,1,1173,958,881,881,292,0,34089,0.7510656436487638,1.0,0.8578383641674782,7.3675798561772385,19.84477584934094,-45.3960205422828
0.2,60,2,6808,1,1170,958,881,881,289,0,34092,0.752991452991453,1.0,0.8590931253047294,7.368195491068983,19.848340801899553,-45.39831887227533
0.2,70,2,7172,1,1168,958,881,881,287,0,34094,0.7542808219178082,1.0,0.859931673987311,7.36847967759366,19.84948075565273,-45.4033322122767
0.2,80,2,7480,1,1161,958,881,881,280,0,34101,0.7588285960378983,1.0,0.8628795298726738,7.368695724018906,19.84914439143686,-45.40830146952662
